fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-06-01;León;6912;840;215;188;1048;9;74;24089
2020-06-01;Zamora;4206;284;60;63;316;3;48;49275
2020-06-03;Burgos;6339;551;171;109;993;5;88;9059
2020-06-03;Soria;2163;309;109;93;735;1;79;42173
2020-04-08;Segovia;2566;274;108;150;266;379;611;40004
2020-04-08;Zamora;4407;69;7;37;8;185;155;49275
2020-04-09;Salamanca;6606;270;103;124;306;511;1197;37274
2020-04-09;Soria;2307;131;54;63;178;226;695;42173
2020-04-09;Zamora;4402;70;7;38;15;177;166;49275
2020-04-10;Segovia;2518;299;126;177;279;304;702;40004
2020-04-12;Segovia;2493;312;133;193;286;298;685;40004
2020-04-13;Soria;2261;141;73;75;183;223;748;42173
2020-04-13;Zamora;4368;77;22;48;117;95;307;49275
2020-04-14;León;7308;369;112;187;437;206;429;24089
2020-04-14;Valladolid;7173;336;133;128;947;124;633;47186
2020-04-15;Ávila;3865;178;76;82;286;179;354;5019
2020-04-15;Salamanca;6585;297;135;181;410;428;1154;37274
2020-04-15;Segovia;2485;337;142;199;338;209;659;40004
2020-04-16;Burgos;6620;261;88;103;523;239;716;9059
2020-04-16;Segovia;2449;384;144;197;346;198;684;40004
2020-04-17;Segovia;2449;414;149;199;360;173;675;40004
2020-04-18;Ávila;3551;220;82;80;374;108;411;5019
2020-04-18;León;7203;474;131;180;649;155;388;24089
2020-04-19;Soria;2238;230;81;85;319;116;816;42173
2020-04-21;Palencia;4209;144;38;35;265;74;580;34120
2020-04-22;Palencia;4203;157;39;35;264;69;581;34120
2020-04-22;Segovia;2421;456;163;202;491;136;592;40004
2020-04-23;León;7099;548;153;176;625;96;471;24089
2020-04-23;Salamanca;6420;545;187;200;679;267;1072;37274
2020-04-24;Ávila;3582;282;94;76;455;100;347;5019
2020-04-25;Ávila;3576;285;95;80;458;102;307;5019
2020-04-25;León;7077;562;160;179;742;88;596;24089
2020-04-25;Palencia;4190;163;41;35;268;61;600;34120
2020-04-27;Palencia;4186;167;44;35;263;65;548;34120
2020-04-28;Ávila;3473;303;103;79;485;92;319;5019
