Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-05-10;Palencia;8491;321;5528;793;34120;14019;1114;3.7804734424684963;14.345151953690305;7.946358513446038;PA
2020-05-10;Segovia;8476;1082;10682;2306;40004;19158;3388;12.765455403492213;21.58771765586969;17.684518216932872;SE
2020-05-10;Zamora;10797;805;4722;591;49275;15519;1396;7.455774752245994;12.515883100381195;8.995424962948643;ZA
2020-05-11;Burgos;19091;963;10878;1841;9059;29969;2804;5.044261693991933;16.924066924066924;9.356334879375353;BU
2020-05-11;Salamanca;15899;1292;13592;2794;37274;29491;4086;8.126297251399459;20.5562095350206;13.855074429486963;SA
2020-05-11;Segovia;9614;1149;10912;2309;40004;20526;3458;11.951320990222591;21.160190615835777;16.846925850141282;SE
2020-05-12;Segovia;10520;1205;11163;2313;40004;21683;3518;11.454372623574145;20.720236495565707;16.22469215514458;SE
2020-05-12;Valladolid;27235;723;36612;4710;47186;63847;5433;2.65467229667707;12.864634546050475;8.509405297038231;VA
2020-05-13;León;22549;1362;18087;2512;24089;40636;3874;6.040179165373187;13.888428152816939;9.53341864356728;LE
2020-05-13;Segovia;11170;1265;11442;2319;40004;22612;3584;11.324977618621308;20.2674357629785;15.849991155138865;SE
2020-05-13;Valladolid;27857;751;37209;4726;47186;65066;5477;2.69591126108339;12.701228197479105;8.417606737773953;VA
2020-05-13;Zamora;14067;988;5053;593;49275;19120;1581;7.023530248098386;11.735602612309519;8.268828451882845;ZA
2020-05-14;León;23638;1472;18897;2524;24089;42535;3996;6.2272611896099495;13.35661745250569;9.394616198424826;LE
2020-05-14;Palencia;12711;395;6206;811;34120;18917;1206;3.1075446463692864;13.067998710924911;6.375218057831581;PA
2020-05-14;Salamanca;19526;1527;14926;2812;37274;34452;4339;7.820342107958619;18.83960873643307;12.594334146058284;SA
2020-05-15;León;24806;1604;19473;2533;24089;44279;4137;6.466177537692494;13.007754326503363;9.343029427042165;LE
2020-05-15;Segovia;12477;1423;11912;2324;40004;24389;3747;11.4049851727178;19.509738079247818;15.363483537660422;SE
2020-05-15;Valladolid;30590;1152;38215;4760;47186;68805;5912;3.7659365805818896;12.455841946879499;8.592398808226147;VA
2020-05-16;Ávila;14213;898;7136;1623;5019;21349;2521;6.318159431506368;22.74383408071749;11.808515621340577;AV
2020-05-16;Valladolid;30627;1155;38522;4768;47186;69149;5923;3.7711822901361547;12.377342817091531;8.565561324097239;VA
2020-05-16;Zamora;16572;1140;5652;609;49275;22224;1749;6.879073135409124;10.774946921443737;7.86987041036717;ZA
2020-05-17;Ávila;14373;907;7256;1623;5019;21629;2530;6.310443192096292;22.367695700110254;11.697258310601507;AV
2020-05-17;Soria;14757;1426;4426;1015;42173;19183;2441;9.66321067967744;22.932670582919116;12.724808424125527;SO
2020-05-17;Valladolid;30700;1158;38626;4777;47186;69326;5935;3.771986970684039;12.367317351007094;8.561001644404696;VA
2020-05-18;Burgos;27810;1435;12884;1879;9059;40694;3314;5.160014383315354;14.583980130394286;8.143706688946773;BU
2020-05-18;León;26483;1656;20580;2553;24089;47063;4209;6.253068005890572;12.405247813411078;8.943331279348959;LE
